529;VestreToten kommun;vestretoten.kommune.no
2030;Sør-Varanger kommun;sor-varanger.kommune.no
1850;Tysfjord kommun;tysfjord.kommune.no
1504;Ålesund kommun;alesund.kommune.no
128;Rakkestad kommun;rakkestad.kommune.no
135;Råde kommun;rade.kommune.no
105;Sarpsborg kommun;sarpsborg.kommune.no
106;Fredrikstad kommun;fredrikstad.kommune.no
1103;Stavanger kommun;stavanger.kommune.no
1124;Sola kommun;sola.kommune.no
1742;Grong kommun;grong.kommune.no
1744;Overhalla kommun;overhalla.kommune.no
213;Ski kommun;ski.kommune.no
214;Ås kommun;as.kommune.no
834;Vinje kommun;vinje.kommune.no
432;Rendalen kommun;rendalen.kommune.no
434;Engerdal kommun;engerdal.kommune.no
522;Gausdal kommun;gausdal.kommune.no
542;Nord-Aurdal kommun;nord-aurdal.kommune.no
538;NordreLand kommun;nordreland.kommune.no
541;Etnedal kommun;etnedal.kommune.no
1227;Jondal kommun;jondal.kommune.no
1724;Verran kommun;verran.kommune.no
1723;Mosvik kommun;mosvik.kommune.no
1703;Namsos kommun;namsos.kommune.no
1702;Steinkjer kommun;steinkjer.kommune.no
1228;Odda kommun;odda.kommune.no
1224;Kvinnherad kommun;kvinnherad.kommune.no
430;Stor-Elvdal kommun;stor-elvdal.kommune.no
520;Ringebu kommun;ringebu.kommune.no
1211;Etne kommun;etne.kommune.no
521;Øyer kommun;oyer.kommune.no
412;Ringsaker kommun;ringsaker.kommune.no
501;Lillehammer kommun;lillehammer.kommune.no
403;Hamar kommun;hamar.kommune.no
1854;Ballangen kommun;ballangen.kommune.no
415;Løten kommun;loten.kommune.no
428;Trysil kommun;trysil.kommune.no
429;Åmot kommun;amot.kommune.no
427;Elverum kommun;elverum.kommune.no
426;Våler kommun;valer.kommune.no
1232;Eidfjord kommun;eidfjord.kommune.no
1231;Ullensvang kommun;ullensvang.kommune.no
1532;Giske kommun;giske.kommune.no
